Image,Latitude,Longitude,lables,,,
92a.jpg,17.55401, ,WC-      -R21-CPT-01,,,
93a.jpg,17.553999,78.164414,WC-      -R19-CPM-13,,,
94a.jpg,17.554212,78.164549,WC-      -R19-PWL-14,,,
95a.jpg,17.554135,78.164894,WC-      -R19-PWL-15,,,
96a.jpg,17.553997,78.165158,WC-      -R19-PWL-16,,,
97a.jpg,17.553994,78.165453,WC-      -R19-PWL-17,,,
98a.jpg,17.554092,78.164178,WC-      -R19-PWL-18,,,
99a.jpg,17.554175,78.163928,WC-      -R19-PWL-19,,,
100a.jpg,17.554256,78.16371,WC-      -R19-PWL-20,,,
101a.jpg,17.554343,78.163518,WC-      -R19-PWL-21,,,
102a.jpg,17.55442,78.163858,WC       -R22-CPM-01,,,
103a.jpg,17.554646,78.163248,WC-S01-R09-PNL-35,,,
104a.jpg,17.555144,78.164133,WC-      -R13-PWL-01,,,
105a.jpg,17.555058,78.164218,WC-      -R13-CPM-02,,,
106a.jpg,17.555492,78.164772,WC-      -R13-PWL-03,,,
107a.jpg,17.555168,78.164666,WC-      -R13-PWL-04,,,
108a.jpg,17.554914,78.164585,WC-      -R13-PWL-05,,,
109a.jpg,17.554885,78.164797,WC-      -R13-PWL-06,,,
110a.jpg,17.55472,78.164809,WC-      -R13-PWL-07,,,
111a.jpg,17.554747,78.165025,WC-      -R13-PWL-08,,,
112a.jpg,17.554713,78.165257,WC-      -R13-PWL-09,,,
113a.jpg,17.554712,78.165578,WC-      -R13-PWL-10,,,
114a.jpg,17.554482,78.165586,WC-      -R13-PWL-11,,,
115a.jpg,17.554258,78.165553,WC-      -R13-PWL-12,,,
116a.jpg,17.554321,78.165258,WC-      -R13-PWL-13,,,
117a.jpg,17.554366,78.165032,WC-      -R13-PWL-14,,,
118a.jpg,17.555306,78.165524,WC-      -R22-CPT-01,,,
119a.jpg,17.555396,78.165336,WC-      -R12-PNL-01,,, 
120a.jpg,17.555629,78.165169,WC-      -R12-PWL-02,,,
121a.jpg,17.555898,78.165393,WC-      -R12-PWL-03,,,
122a.jpg,17.555899,78.165139,WC-      -R12-PWL-04,,,
123a.jpg,17.555911,78.165103,WC-      -R12-PWL-05,,,
124a.jpg,17.555909,78.164829,WC-      -R12-PWL-06,,,
125a.jpg,17.556082,78.165328,WC-      -R12-PWL-07,,,
126a.jpg,17.556084,78.165094,WC-      -R12-PWL-08,,,
127a.jpg,17.556288,78.164978,WC-      -R12-PWL-09,,,
128a.jpg,17.556491,78.164913,WC-      -R12-PWL-10,,,
129a.jpg,17.556675,78.164917,WC-      -R12-CPM-11,,,
130a.jpg,17.557032,78.164904,WC-      -R12-PWL-12,,,
131a.jpg,17.557455,78.165231,WC-      -R23-CPM-01,,,
132a.jpg,17.5574,78.165584,WC-      -R23-PWL-02,,,
133a.jpg,17.557371,78.16579,WC-      -R23-PWL-03,,,
134a.jpg,17.557344,78.166156,WC-      -R23-PWL-04,,,
135a.jpg,17.557299,78.166465,WC-      -R23-PWL-05,,,
136a.jpg,17.5572,78.166812,WC-      -R23-PWL-06,,,
137a.jpg,17.557147,78.167083,WC-      -R23-PWL-07,,,
138a.jpg,17.556924,78.166742,WC-      -R23-PWL-08,,,
139a.jpg,17.556638,78.16671,WC-      -R23-PWL-09,,,
140a.jpg,17.556289,78.166612,WC-      -R23-PWL-10,,,
141a.jpg,17.555895,78.166504,WC-      -R23-PWL-11,,,
142a.jpg,17.55586,78.166148,WC-      -R23-PWL-12,,,
143a.jpg,17.556382,78.165955,WC-      -R23-PWL-13,,,
144a.jpg,17.556569,78.165984,WC-      -R23-PWL-14,,,
145a.jpg,17.556842,78.166028,WC-      -R23-PWL-15,,,
146a.jpg,17.557079,78.166105,WC-      -R23-PWL-16,,,
147a.jpg,17.559315,78.165468,VC-       -R04-CPT-01,,,
148a.jpg,17.559303,78.165431,VC-       -R04-PNL-01,,,
149a.jpg,17.559545,78.165539,VC-       -R04-PWL-02,,,
150a.jpg,17.559563,78.165782,VC-       -R04-PWL-03,,,
151a.jpg,17.559558,78.165964,VC-       -R04-PWL-04,,,
152a.jpg,17.559811,78.165474,VC-       -R04-PWL-05,,,
153a.jpg,17.560135,78.166017,VC-       -R04-PWL-06,,,
154a.jpg,17.560181,78.165602,VC-       -R04-PWL-07,,,
